date,destination_ip,number_of_tickets
2026-03-23 10:01:48,172.22.0.20,16
2026-03-23 10:01:51,172.22.0.20,14
2026-03-23 10:01:54,172.22.0.20,14
2026-03-23 10:01:57,172.22.0.20,15
2026-03-23 10:01:59,172.22.0.20,12
2026-03-23 10:02:02,172.22.0.20,15
2026-03-23 10:02:05,172.22.0.20,15
2026-03-23 10:02:08,172.22.0.20,15
2026-03-23 10:02:11,172.22.0.20,15
2026-03-23 10:02:14,172.22.0.20,14
2026-03-23 10:02:17,172.22.0.20,15
2026-03-23 10:02:20,172.22.0.20,14
2026-03-23 10:02:23,172.22.0.20,15
2026-03-23 10:02:26,172.22.0.20,14
2026-03-23 10:02:28,172.22.0.20,11
2026-03-23 10:02:31,172.22.0.20,12
2026-03-23 10:02:34,172.22.0.20,16
2026-03-23 10:02:36,172.22.0.20,11
2026-03-23 10:02:39,172.22.0.20,14
2026-03-23 10:02:42,172.22.0.20,14
2026-03-23 10:02:45,172.22.0.20,14
2026-03-23 10:02:48,172.22.0.20,14
2026-03-23 10:02:51,172.22.0.20,15
2026-03-23 10:02:54,172.22.0.20,14
2026-03-23 10:02:56,172.22.0.20,14
2026-03-23 10:02:59,172.22.0.20,14
2026-03-23 10:03:02,172.22.0.20,13
2026-03-23 10:03:05,172.22.0.20,13
2026-03-23 10:03:07,172.22.0.20,13
2026-03-23 10:03:10,172.22.0.20,14
2026-03-23 10:03:13,172.22.0.20,13
2026-03-23 10:03:16,172.22.0.20,14
2026-03-23 10:03:18,172.22.0.20,13
2026-03-23 10:03:21,172.22.0.20,12
2026-03-23 10:03:24,172.22.0.20,14
2026-03-23 10:03:27,172.22.0.20,15
2026-03-23 10:03:29,172.22.0.20,13
2026-03-23 10:03:32,172.22.0.20,14
2026-03-23 10:03:35,172.22.0.20,12
2026-03-23 10:03:38,172.22.0.20,14
2026-03-23 10:03:40,172.22.0.20,14
2026-03-23 10:03:43,172.22.0.20,14
2026-03-23 10:03:46,172.22.0.20,14
2026-03-23 10:03:49,172.22.0.20,13
2026-03-23 10:03:52,172.22.0.20,14
2026-03-23 10:03:54,172.22.0.20,13
2026-03-23 10:03:57,172.22.0.20,15
2026-03-23 10:04:00,172.22.0.20,12
2026-03-23 10:04:03,172.22.0.20,14
2026-03-23 10:04:06,172.22.0.20,15
2026-03-23 10:04:08,172.22.0.20,13
2026-03-23 10:04:11,172.22.0.20,12
2026-03-23 10:04:13,172.22.0.20,12
2026-03-23 10:04:16,172.22.0.20,12
2026-03-23 10:04:18,172.22.0.20,13
2026-03-23 10:04:21,172.22.0.20,14
2026-03-23 10:04:24,172.22.0.20,15
2026-03-23 10:04:27,172.22.0.20,15
2026-03-23 10:04:30,172.22.0.20,14
2026-03-23 10:04:33,172.22.0.20,16
2026-03-23 10:04:36,172.22.0.20,14
2026-03-23 10:04:39,172.22.0.20,14
2026-03-23 10:04:42,172.22.0.20,13
2026-03-23 10:04:44,172.22.0.20,11
2026-03-23 10:04:47,172.22.0.20,13
2026-03-23 10:04:50,172.22.0.20,14
2026-03-23 10:04:52,172.22.0.20,14
2026-03-23 10:04:55,172.22.0.20,13
2026-03-23 10:04:58,172.22.0.20,13
2026-03-23 10:05:00,172.22.0.20,12
2026-03-23 10:05:03,172.22.0.20,14
2026-03-23 10:05:06,172.22.0.20,13
2026-03-23 10:05:08,172.22.0.20,13
2026-03-23 10:05:11,172.22.0.20,14
2026-03-23 10:05:14,172.22.0.20,14
2026-03-23 10:05:17,172.22.0.20,12
2026-03-23 10:05:20,172.22.0.20,15
2026-03-23 10:05:22,172.22.0.20,12
2026-03-23 10:05:24,172.22.0.20,12
