start_date,end_date,action
2026-03-23 10:11:51,2026-03-23 10:12:01,NORMAL
2026-03-23 10:12:01,2026-03-23 10:12:11,NORMAL
2026-03-23 10:12:11,2026-03-23 10:12:21,NORMAL
2026-03-23 10:12:21,2026-03-23 10:12:31,NORMAL
2026-03-23 10:12:31,2026-03-23 10:12:41,NORMAL
2026-03-23 10:12:41,2026-03-23 10:12:51,NORMAL
2026-03-23 10:12:51,2026-03-23 10:13:01,NORMAL
2026-03-23 10:13:01,2026-03-23 10:13:11,NORMAL
2026-03-23 10:13:11,2026-03-23 10:13:21,NORMAL
2026-03-23 10:13:21,2026-03-23 10:13:31,NORMAL
2026-03-23 10:13:31,2026-03-23 10:13:41,NORMAL
2026-03-23 10:13:41,2026-03-23 10:13:51,NORMAL
2026-03-23 10:13:51,2026-03-23 10:14:01,NORMAL
2026-03-23 10:14:01,2026-03-23 10:14:11,NORMAL
2026-03-23 10:14:11,2026-03-23 10:14:21,NORMAL
2026-03-23 10:14:21,2026-03-23 10:14:31,NORMAL
2026-03-23 10:14:31,2026-03-23 10:14:41,NORMAL
2026-03-23 10:14:41,2026-03-23 10:14:51,NORMAL
2026-03-23 10:14:51,2026-03-23 10:15:01,NORMAL
2026-03-23 10:15:01,2026-03-23 10:15:11,NORMAL
2026-03-23 10:15:11,2026-03-23 10:15:21,NORMAL
2026-03-23 10:15:21,2026-03-23 10:15:31,LOSS
2026-03-23 10:15:31,2026-03-23 10:15:41,NORMAL
2026-03-23 10:15:41,2026-03-23 10:15:51,NORMAL
2026-03-23 10:15:51,2026-03-23 10:16:01,CORRUPTION
2026-03-23 10:16:01,2026-03-23 10:16:11,NORMAL
2026-03-23 10:16:11,2026-03-23 10:16:21,NORMAL
2026-03-23 10:16:21,2026-03-23 10:16:31,DELAY
2026-03-23 10:16:31,2026-03-23 10:16:41,NORMAL
2026-03-23 10:16:41,2026-03-23 10:16:51,DELAY
2026-03-23 10:16:51,2026-03-23 10:17:01,NORMAL
2026-03-23 10:17:01,2026-03-23 10:17:11,NORMAL
2026-03-23 10:17:11,2026-03-23 10:17:21,NORMAL
2026-03-23 10:17:21,2026-03-23 10:17:31,NORMAL
2026-03-23 10:17:31,2026-03-23 10:17:41,NORMAL
2026-03-23 10:17:41,2026-03-23 10:17:51,NORMAL
2026-03-23 10:17:51,2026-03-23 10:18:01,NORMAL
2026-03-23 10:18:01,2026-03-23 10:18:11,NORMAL
2026-03-23 10:18:11,2026-03-23 10:18:21,NORMAL
2026-03-23 10:18:21,2026-03-23 10:18:31,NORMAL
2026-03-23 10:18:31,2026-03-23 10:18:41,NORMAL
2026-03-23 10:18:41,2026-03-23 10:18:51,NORMAL
2026-03-23 10:18:51,2026-03-23 10:19:01,NORMAL
2026-03-23 10:19:01,2026-03-23 10:19:11,NORMAL
2026-03-23 10:19:11,2026-03-23 10:19:21,NORMAL
2026-03-23 10:19:21,2026-03-23 10:19:31,NORMAL
2026-03-23 10:19:31,2026-03-23 10:19:41,NORMAL
2026-03-23 10:19:41,2026-03-23 10:19:51,NORMAL
2026-03-23 10:19:51,2026-03-23 10:20:01,NORMAL
2026-03-23 10:20:01,2026-03-23 10:20:11,NORMAL
2026-03-23 10:20:11,2026-03-23 10:20:21,NORMAL
2026-03-23 10:20:21,2026-03-23 10:20:31,NORMAL
2026-03-23 10:20:31,2026-03-23 10:20:41,NORMAL
2026-03-23 10:20:41,2026-03-23 10:20:51,NORMAL
2026-03-23 10:20:51,2026-03-23 10:21:01,NORMAL
2026-03-23 10:21:01,2026-03-23 10:21:11,NORMAL
2026-03-23 10:21:11,2026-03-23 10:21:21,NORMAL
2026-03-23 10:21:21,2026-03-23 10:21:31,NORMAL
2026-03-23 10:21:31,2026-03-23 10:21:41,NORMAL
2026-03-23 10:21:41,2026-03-23 10:21:51,NORMAL
2026-03-23 10:21:51,2026-03-23 10:22:01,DELAY
2026-03-23 10:22:01,2026-03-23 10:22:11,NORMAL
